id,question,answer
143,"Trong quá trình phát triển của sự vật, sự chuyển hóa từ cái chung thành cái đơn nhất là biểu hiện của quá trình nào?","Quá trình cái cũ, cái lỗi thời bị phủ định."
144,Mâu thuẫn chủ yếu là gì?,"Mâu thuẫn nổi lên hàng đầu ở một giai đoạn phát triển nhất định của sự vật, nó chi phối các mâu thuẫn khác trong giai đoạn đó."
145,"Theo Phơrớt, ""Cái tôi"" hoạt động theo nhu cầu nào?","Theo nhu cầu của thế giới bên ngoài, điều tiết sự xung đột giữa ""cái ấy"" và thế giới bên ngoài."
146,"Theo Hồ Chí Minh, lý luận như cái gì?","Lý luận như cái tên (hoặc viên đạn), thực hành cũng như cái đích để bắn."
147,Thắng lợi của công cuộc bầu cử Quốc hội chung của nước Việt Nam thống nhất diễn ra vào thời gian nào?,Ngày 25-4-1976.
148,"Phạm trù nào chỉ phương thức tồn tại và phát triển của sự vật, là hệ thống các mối liên hệ tương đối bền vững giữa các yếu tố của sự vật đó?",Hình thức.
149,Quan điểm của Chủ nghĩa duy vật biện chứng về chân lý là gì?,Chân lý là tri thức phù hợp với hiện thực khách quan và được thực tiễn kiểm nghiệm.
150,Các hình thức cơ bản của bước nhảy được quyết định bởi những yếu tố nào?,Bản thân sự vật và những điều kiện cụ thể trong đó sự vật thực hiện bước nhảy.
151,Yếu tố nào được coi là nhân tố quyết định sự thành bại của cách mạng và là khâu then chốt trong công tác xây dựng Đảng?,Cán bộ.
152,"Hồ Chí Minh đã cảnh báo điều gì nếu một dân tộc, một đảng hay một con người sa vào chủ nghĩa cá nhân?","Ngày hôm qua là vĩ đại, có sức hấp dẫn lớn, không nhất định hôm nay và ngày mai vẫn được mọi người yêu mến và ca ngợi."
153,Phép biện chứng duy vật được xây dựng trên cơ sở hai nguyên lý khái quát nhất nào?,Nguyên lý về mối liên hệ phổ biến và nguyên lý về sự phát triển.
154,Làm rõ đoàn kết để thực hiện mục tiêu cách mạng trong giai đoạn hiện nay theo tư tưởng Hồ Chí Minh là gì?,"Dân giàu, nước mạnh, dân chủ, xã hội công bằng văn minh."
155,"Trong những điều kiện nhất định, cái gì có thể chuyển hóa thành cái ngẫu nhiên và ngược lại?",Tất nhiên có thể chuyển hóa thành ngẫu nhiên và ngược lại.
156,"Trong quá trình phát triển của sự vật, yếu tố nào thường biến đổi trước, còn yếu tố nào biến đổi chậm hơn?",Các yếu tố của nội dung biến đổi trước; hình thức (mối liên kết) biến đổi chậm hơn.
157,Thực tiễn được phân chia thành ba hình thức cơ bản nào?,"Hoạt động sản xuất vật chất, hoạt động chính trị - xã hội và hoạt động thực nghiệm khoa học."
158,Hạn chế của Đảng trong chỉ đạo thực tiễn xây dựng chủ nghĩa xã hội ở miền Bắc là gì (trước 1975)?,"Có thời điểm đánh giá so sánh lực lượng giữa ta và địch chưa thật đầy đủ và còn có những biểu hiện nóng vội, chủ quan, duy ý chí trong xây dựng chủ nghĩa xã hội ở miền Bắc."
159,Quan hệ sản xuất là gì?,Là quan hệ giữa người với người trong quá trình sản xuất (sản xuất và tái sản xuất xã hội).
160,"Để đạt được hiệu quả cao trong hoạt động thực tiễn, con người phải làm gì theo quan điểm toàn diện?","Phải biết sử dụng đồng bộ các biện pháp, các phương tiện khác nhau để tác động nhằm đem lại hiệu quả cao nhất."
161,"Theo Hồ Chí Minh, nếu không có tình yêu thương đối với những người nghèo khổ, những người bị áp bức, bị bóc lột thì không thể nói đến điều gì?","Không thể nói đến cách mạng, càng không thể nói đến chủ nghĩa xã hội và chủ nghĩa cộng sản."
162,Mâu thuẫn bên trong là gì?,"Sự tác động qua lại giữa các mặt, các khuynh hướng đối lập của cùng một sự vật."
163,Tính cách mạng của giai cấp tư sản ở giữa thế kỷ XIX thể hiện ở đâu?,Giai cấp tư sản khi còn là giai cấp cách mạng đã nêu cao vấn đề dân tộc để tập hợp quần chúng đấu tranh giành và giữ chính quyền tư sản.
164,"Để trở thành người có phẩm chất đạo đức tốt, Hồ Chí Minh coi cần, kiệm, liêm, chính là bốn đức tính cơ bản như thế nào?","Giống như bốn mùa của trời, bốn phương của đất; “Thiếu một đức, thì không thành người”."
165,Quan điểm biện chứng xem xét sự phát triển là một quá trình như thế nào?,"Là một quá trình tiến lên từ thấp đến cao, diễn ra vừa dần dần, vừa nhảy vọt, đưa tới sự ra đời của cái mới thay thế cái cũ."
166,Hồ Chí Minh đã kế thừa và phát triển tinh thần nào trong Nho giáo để quản lý xã hội?,"Tư tưởng dùng nhân trị, đức trị để quản lý xã hội và tinh thần trọng đạo đức trong việc tu dưỡng, rèn luyện đạo đức."
167,Quan điểm của Chủ nghĩa duy vật biện chứng về không gian và thời gian là gì?,Phải thừa nhận một cách dứt khoát và kiên quyết rằng những khái niệm đang phát triển của chúng ta về không gian và thời gian đều phản ánh thời gian và không gian thực tại khách quan.
168,"Phạm trù nào chỉ cái không do mối liên hệ bản chất, bên trong kết cấu vật chất, bên trong sự vật quyết định mà do các nhân tố bên ngoài quyết định?",Ngẫu nhiên.
169,Tình cảm đạo đức có vai trò gì trong ý thức đạo đức?,"Là yếu tố đặc biệt quan trọng, nếu thiếu nó thì những tri thức đạo đức không thể chuyển hóa thành hành vi đạo đức."
170,Quy luật thống nhất và đấu tranh của các mặt đối lập được V.I. Lênin định nghĩa vắn tắt là gì?,Học thuyết về sự thống nhất của các mặt đối lập.
171,Mục tiêu tổng quát của công cuộc đổi mới mang tầm vóc và ý nghĩa cách mạng là gì?,"“Dân giàu, nước mạnh, dân chủ, công bằng, văn minh”."
172,Phản ánh là thuộc tính gì trong mọi dạng vật chất?,Phản ánh là thuộc tính phổ biến trong mọi dạng vật chất.
173,Phẩm chất đạo đức bao trùm quan trọng nhất và chi phối các phẩm chất khác trong tư tưởng Hồ Chí Minh là gì?,"Trung với nước, hiếu với dân."
174,Sự khác biệt căn bản của triết học Mác-Lênin về phạm trù triết học là gì?,"Phạm trù của phép biện chứng duy vật là những khái niệm chung nhất phản ánh những mặt, thuộc tính, mối liên hệ cơ bản và phổ biến nhất của toàn bộ thế giới hiện thực, bao gồm cả tự nhiên, xã hội và tư duy."
175,Tâm lý và tư tưởng nào của nhân dân miền Bắc đã được dấy lên sau Lời kêu gọi của Hồ Chí Minh (17-7-1966)?,"Cao trào chống Mỹ, cứu nước, vừa sản xuất, vừa chiến đấu, với niềm tin tưởng và quyết tâm cao độ."
176,"Theo Hồ Chí Minh, mục tiêu văn hóa - nhìn một cách tổng quát - là gì?","Quyền sống, quyền sung sướng, quyền tự do, quyền mưu cầu hạnh phúc; là khát vọng của nhân dân về các giá trị chân, thiện, mỹ."
177,Mục đích của việc Đảng ra Chỉ thị số 100-CT/TW (1-1981) về khoán sản phẩm đến nhóm và người lao động trong các hợp tác xã nông nghiệp là gì?,Giải quyết hiện tượng “khoán chui” trong hợp tác xã nông nghiệp.
178,"Trong Di chúc, Hồ Chí Minh dặn dò Đảng về quan hệ giữa các đồng chí là gì?",Phải có tình đồng chí thương yêu lẫn nhau.
179,Cái riêng là gì?,"Phạm trù chỉ một sự vật, một hiện tượng, một quá trình nhất định."
180,"Trong mối quan hệ giữa bản chất và hiện tượng, cái nào sâu sắc hơn và cái nào phong phú hơn?","Bản chất sâu sắc hơn hiện tượng, còn hiện tượng phong phú hơn bản chất."
181,"Theo Hồ Chí Minh, hai câu hỏi cần phải trả lời dứt khoát đối với thanh niên trí thức là gì?",Học để làm gì? Học để phục vụ ai?
182,"Trong quá trình phát triển của sự vật, sự thống nhất giữa sự ổn định và sự thay đổi được quy định bởi quy luật nào?",Sự thống nhất và đấu tranh của các mặt đối lập.
183,Nội dung cơ bản của đạo đức Nho gia là gì?,Luân thường.
184,Quan hệ giữa đấu tranh giai cấp và đấu tranh dân tộc có mối quan hệ nào?,Không chỉ đấu tranh giai cấp tác động vào đấu tranh dân tộc mà còn có chiều ngược lại: đấu tranh dân tộc tác động vào đấu tranh giai cấp.
185,"Theo Hồ Chí Minh, “cán bộ” là những người có vai trò gì?","Đem chính sách của Đảng, của Chính phủ giải thích cho dân chúng hiểu rõ và thi hành. Đồng thời đem tình hình của dân chúng báo cáo cho Đảng, cho Chính phủ hiểu rõ, để đặt chính sách cho đúng."
186,Phương pháp lôgíc và phương pháp lịch sử là hai phương pháp nào được kết hợp trong nghiên cứu tư tưởng Hồ Chí Minh?,Phương pháp chuyên ngành và liên ngành.
187,Mâu thuẫn cơ bản nào quy định bản chất của sự vật và tồn tại trong suốt quá trình tồn tại của sự vật?,Mâu thuẫn cơ bản.
188,"Theo Hồ Chí Minh, “Tiết kiệm không phải là bủn xỉn”, vậy bủn xỉn là gì?","Việc đáng tiêu mà không tiêu, là bủn xỉn, chứ không phải là kiệm."
189,Mối liên hệ giữa bản chất và hiện tượng về căn bản là gì?,Phù hợp với nhau.
190,"Theo Hồ Chí Minh, việc giáo dục đạo đức mới phải được tiến hành phù hợp với những yếu tố nào?","Phù hợp với từng giai đoạn cách mạng, phù hợp với từng lứa tuổi, ngành nghề, giai cấp, tầng lớp và trong từng môi trường khác nhau."
191,"Trong những điều kiện nhất định, cái gì có thể chuyển hóa từ khả năng thành hiện thực mới?",Khả năng.
192,Tính kiên định và đổi mới trong Cương lĩnh năm 2011 được xác định như thế nào?,"Sự thống nhất giữa tính kiên định và đổi mới, khoa học và cách mạng, trí tuệ và tình cảm, hiện tại và tương lai của Cương lĩnh là định hướng cho cả dân tộc thực hiện mục tiêu và con đường cách mạng mà Hồ Chí Minh đã xác định."
193,Nguồn gốc sâu xa của sự hình thành khoa học là gì?,Do nhu cầu phát triển sản xuất.
194,"Vấn đề nào được coi là tiêu chuẩn để xác định lập trường, thế giới quan của các triết gia và học thuyết của họ?",Giải quyết vấn đề cơ bản của triết học.
195,Quy luật của tự nhiên và quy luật của xã hội khác nhau cơ bản ở điểm nào trong quá trình thực hiện?,"Quy luật của tự nhiên diễn ra một cách tự phát, còn quy luật của xã hội chỉ được thực hiện thông qua hoạt động có ý thức của con người."
196,"Đại hội VI (12-1986) tổng kết quá trình lãnh đạo cách mạng, đặc biệt lãnh đạo cách mạng xã hội chủ nghĩa, thấy rõ sự cần thiết phải làm gì?",Đổi mới tư duy lý luận và đề ra đường lối đổi mới.
197,"Theo Hồ Chí Minh, phẩm chất “liêm” là gì?","Là trong sạch, không tham lam; là liêm khiết, luôn luôn tôn trọng giữ gìn của công, của dân."
198,"Phạm trù nào chỉ sự tổng hợp tất cả những mặt, những mối liên hệ tất nhiên, tương đối ổn định bên trong sự vật, quy định sự vận động và phát triển của sự vật?",Bản chất.
199,Phát triển là gì theo quan điểm duy vật biện chứng?,"Là một quá trình vận động tiến lên từ thấp đến cao, từ đơn giản đến phức tạp, từ kém hoàn thiện đến hoàn thiện hơn của sự vật."
200,Thực tiễn đóng vai trò gì đối với chân lý?,Là tiêu chuẩn để kiểm tra chân lý.
201,Lênin đã định nghĩa vật chất là gì?,"Vật chất là một phạm trù triết học dùng để chỉ thực tại khách quan được đem lại cho con người trong cảm giác, được cảm giác của chúng ta chép lại, chụp lại, phản ánh và tồn tại không lệ thuộc vào cảm giác."
202,Quy luật xã hội tồn tại và tác động trong những điều kiện nào?,"Trong những điều kiện nhất định, khi những điều kiện tồn tại tất yếu của quy luật xã hội mất đi, thì quy luật cũng không còn tồn tại."
203,Chức năng của văn hóa giáo dục theo Hồ Chí Minh là gì?,"Diệt giặc dốt, xóa mù chữ, giúp con người hiểu biết quy luật phát triển của xã hội, và với sứ mệnh “trồng người”, đào tạo con người mới, cán bộ mới, nguồn nhân lực chất lượng cao cho sự nghiệp cách mạng."
204,"Trong triết học phương Tây hiện đại, hai trào lưu chủ yếu xoay quanh triết học là gì?",Chủ nghĩa duy khoa học và chủ nghĩa nhân bản phi duy lý.
205,Quan điểm của Hồ Chí Minh về việc Đảng phải “học hỏi quần chúng nhưng không theo đuôi quần chúng” có ý nghĩa gì?,Phải chú ý nâng cao dân chúng.
206,"Trong tư tưởng Hồ Chí Minh, “xây đi đôi với chống” trong xây dựng đạo đức mới có ý nghĩa gì?","Xây tức là xây dựng các giá trị, các chuẩn mực đạo đức mới; chống là chống các biểu hiện, các hành vi vô đạo đức, suy thoái đạo đức."
207,Tồn tại xã hội là gì?,Toàn bộ sinh hoạt vật chất và những điều kiện sinh hoạt vật chất của xã hội.
208,"Theo Hồ Chí Minh, muốn cải tạo thế giới và cải tạo xã hội thì trước hết phải làm gì?",Phải tự cải tạo bản thân chúng ta.
209,Đảng đã rút ra bài học gì về việc phát huy sức mạnh dân tộc và sức mạnh thời đại trong điều kiện mới (Đại hội X)?,"Phát huy cao độ nội lực, đồng thời ra sức tranh thủ ngoại lực, kết hợp sức mạnh dân tộc với sức mạnh thời đại trong điều kiện mới."
210,"Trong công tác cán bộ, Hồ Chí Minh yêu cầu phải kết hợp những loại cán bộ nào?","Kết hợp “cán bộ cấp trên phái đến và cán bộ địa phương”, kết hợp cán bộ trẻ với cán bộ cũ."
211,Tính kế thừa của phủ định biện chứng có ý nghĩa gì trong hoạt động của con người?,"Con người phải biết kế thừa tinh hoa của cái cũ, tránh thái độ phủ định sạch trơn."
212,Lực lượng sản xuất là gì?,Lực lượng sản xuất biểu hiện mối quan hệ giữa con người với tự nhiên trong quá trình sản xuất.
213,"Theo Hồ Chí Minh, mục đích của việc đoàn kết trong Mặt trận Dân tộc Thống nhất là gì?","Đoàn kết phải lấy lợi ích tối cao của dân tộc, lợi ích căn bản của nhân dân lao động làm mục tiêu phấn đấu."
214,"Theo quan điểm duy vật biện chứng, cái chung là gì?","Phạm trù triết học dùng để chỉ những mặt, những thuộc tính không những có ở một kết cấu vật chất nhất định, mà còn được lặp lại trong nhiều sự vật, hiện tượng hay quá trình riêng lẻ khác."
215,"Theo Cantơ, nhận thức con người chỉ biết được gì?",Chỉ biết được hiện tượng bề ngoài mà không xâm nhập được vào bản chất đích thực của sự vật.
216,Thuyết không thể biết (agnosticisme) là học thuyết triết học như thế nào?,Phủ nhận khả năng nhận thức của con người.
217,Mục tiêu và con đường cách mạng Việt Nam đã được Đảng khẳng định sau khi tổng kết là gì?,Độc lập dân tộc gắn liền với chủ nghĩa xã hội.
218,Quan điểm của Chủ nghĩa duy vật biện chứng về chân lý có tính khách quan là gì?,"Nội dung của những tri thức đúng đắn không phải là sản phẩm thuần túy chủ quan, mà nội dung đó thuộc về thế giới khách quan, do thế giới khách quan quy định."
219,"Phép biện chứng duy vật đã gạt bỏ tính chất nào, và kế thừa hạt nhân hợp lý nào để xây dựng nên học thuyết của mình?","Gạt bỏ tính chất thần bí, kế thừa những hạt nhân hợp lý trong phép biện chứng duy tâm."
220,Nguyên tắc quan trọng bậc nhất trong xây dựng nền đạo đức mới theo Hồ Chí Minh là gì?,"Nói đi đôi với làm, nêu gương về đạo đức."
221,"Theo Ph.Ăngghen, sự phát triển của khoa học tự nhiên đã tác động như thế nào đến chủ nghĩa duy vật?",Mỗi khi khoa học tự nhiên có những phát minh mang tính chất vạch thời đại thì chủ nghĩa duy vật không thể không thay đổi hình thức của nó.
222,"Hai nhiệm vụ nào không tách rời nhau, mà mật thiết gắn bó nhau trong cuộc chiến tranh chống Mỹ?",Nhiệm vụ bảo vệ miền Bắc và giải phóng miền Nam.
223,Đặc điểm của thời kỳ quá độ lên chủ nghĩa xã hội ở nước ta được Đại hội V xác định là gì?,"Nền kinh tế có cơ cấu nhiều thành phần, đó là sự cần thiết khách quan để phát triển lực lượng sản xuất, tận dụng các tiềm năng, tạo thêm việc làm cho người lao động, phải sử dụng đúng đắn các thành phần kinh tế."
224,"Theo Hồ Chí Minh, đoàn kết thật sự trong Mặt trận là gì?","Vừa đoàn kết, vừa đấu tranh, học những cái tốt của nhau, phê bình những cái sai của nhau và phê bình trên lập trường thân ái, vì nước, vì dân."
225,"Theo Ph.Ăngghen, có mấy hình thức vận động cơ bản của vật chất?","5 hình thức cơ bản: Vận động cơ học, vật lý, hóa học, sinh học, và xã hội."
226,Phạm trù nào được triết học Mác-Lênin sử dụng để chỉ sự thay đổi căn bản về chất của sự vật do sự thay đổi về lượng của sự vật trước đó gây nên?,Bước nhảy.
227,Đại hội VI (12-1986) của Đảng đã đề ra đường lối gì?,Đề ra đường lối đổi mới.
228,"Theo Hồ Chí Minh, đức và tài có mối quan hệ như thế nào?","Đức và tài, hồng và chuyên, phẩm chất và năng lực phải thống nhất làm một, trong đó đạo đức là gốc."
229,"Theo Hồ Chí Minh, Hiếu với dân là gì?","Thương dân, tin dân, thân dân, học hỏi dân, lấy trí tuệ ở dân, kính trọng dân, lấy dân làm gốc, 'hết lòng hết sức phục vụ nhân dân'."
230,Tính khách quan của mối liên hệ biểu hiện như thế nào?,"Các mối liên hệ là vốn có của mọi sự vật, hiện tượng; nó không phụ thuộc vào ý thức của con người."
231,"Trong quá trình phát triển của sự vật, sự thống nhất giữa tính ổn định và tính thay đổi được quy định bởi quy luật nào?",Sự thống nhất và đấu tranh của các mặt đối lập.
232,"Hồ Chí Minh cho rằng, cán bộ có quyền mà thiếu lương tâm thì sẽ có dịp làm gì?","Có dịp đục khoét, có dịp ăn của đút, có dịp “dĩ công vi tư”."
233,Mối quan hệ giữa cái chung và cái đơn nhất là gì?,Cái đơn nhất và cái chung có thể chuyển hóa lẫn nhau trong quá trình phát triển của sự vật.
234,Quan điểm lịch sử - cụ thể đòi hỏi điều gì khi nhận thức và tác động vào sự vật?,"Phải chú ý điều kiện, hoàn cảnh lịch sử - cụ thể, môi trường cụ thể trong đó sự vật sinh ra, tồn tại và phát triển."
235,"Theo Hồ Chí Minh, con người Việt Nam cần có những phẩm chất gì trong thời kỳ mới?","Giàu lòng yêu nước, có ý thức làm chủ, trách nhiệm công dân; có tri thức, sức khoẻ, lao động giỏi; sống có văn hoá, nghĩa tình; có tinh thần quốc tế chân chính."
236,"Triết học nào đã khẳng định con người sáng tạo ra Thượng đế, đấu tranh chống các quan niệm tôn giáo chính thống?",Triết học nhân bản của Phoiơbắc.
237,Triết học Mác-Lênin đã chấm dứt tham vọng coi triết học là gì?,Là 'khoa học của các khoa học' đứng trên mọi khoa học.
238,"Trong Di chúc, Hồ Chí Minh mong muốn Đảng sẽ hoạt động vì điều gì trong quan hệ quốc tế?","Góp phần đắc lực vào việc khôi phục lại khối đoàn kết giữa các đảng anh em trên nền tảng chủ nghĩa Mác - Lênin và chủ nghĩa quốc tế vô sản, có lý có tình."
239,Hội nghị Trung ương 4 khóa XII (10-2016) đã ra Nghị quyết về vấn đề gì?,"Về tiếp tục đổi mới mô hình tăng trưởng, nâng cao chất lượng tăng trưởng, năng suất lao động và sức cạnh tranh của nền kinh tế."
240,"Theo Hồ Chí Minh, mục đích của việc vận động quần chúng là gì?","Vận động quần chúng để thu hút quần chính là để đoàn kết mọi người, tạo ra động lực phát triển kinh tế - xã hội và văn hoá."
241,"Phạm trù nào chỉ những nét, những mặt, những thuộc tính chỉ có ở một sự vật, một kết cấu vật chất, mà không lặp lại ở sự vật, hiện tượng, kết cấu vật chất khác?",Cái đơn nhất.
242,Đảng đã rút ra bài học gì về việc kết hợp đổi mới kinh tế với đổi mới chính trị qua 10 năm đổi mới (ĐH VIII)?,"Kết hợp chặt chẽ ngay từ đầu đổi mới kinh tế với đổi mới chính trị; lấy đổi mới kinh tế làm trọng tâm, đồng thời từng bước đổi mới chính trị."
243,"Theo Hồ Chí Minh, tự phê bình và phê bình có tác dụng như thế nào?",Là 'thang thuốc' tốt nhất để làm cho phần tốt trong mỗi tổ chức và mỗi con người nẩy nở như hoa mùa xuân và phần xấu bị mất dần đi.
244,"Theo Phái duy thực, cái gì là cái có thực, tồn tại độc lập và sinh ra cái riêng?","Cái chung (thực thể tinh thần như thượng đế, tinh thần thế giới, là 'ý niệm')."
245,"Sự đấu tranh của các mặt đối lập được xem là gì, so với sự thống nhất của chúng?","Là tuyệt đối, cũng như sự phát triển, sự vận động là tuyệt đối."
246,Quan hệ sản xuất bao gồm những mặt nào?,"Quan hệ về sở hữu đối với tư liệu sản xuất, quan hệ trong tổ chức và quản lý sản xuất, quan hệ trong phân phối sản phẩm sản xuất ra."
247,Đâu là bài học kinh nghiệm về vai trò của nhân dân mà Đại hội XII (2016) đã nhấn mạnh?,"Đổi mới phải luôn luôn quán triệt quan điểm “dân là gốc”, vì lợi ích nhân dân, dựa vào nhân dân, phát huy vai trò làm chủ, tinh thần trách nhiệm, sức sáng tạo và mọi nguồn lực của nhân dân, phát huy sức mạnh đại đoàn kết toàn dân tộc."
248,Luận điểm triết học nổi tiếng của Rơnê Đêcáctơ là gì?,"""Tôi suy nghĩ vậy tôi tồn tại""."
249,"Theo Nho gia, Đạo của con người được lập nên dựa trên những khái niệm nào?",Nhân và nghĩa.
250,"Theo quan điểm của Đảng, Hội nghị Trung ương 7 (3-2003) khẳng định Đại đoàn kết toàn dân tộc là gì?","Là đường lối chiến lược của cách mạng Việt Nam; là nguồn sức mạnh, động lực chủ yếu và là nhân tố có ý nghĩa quyết định bảo đảm phát triển bền vững đất nước."
251,Mối quan hệ giữa tồn tại xã hội và ý thức xã hội là gì?,"Ý thức xã hội là sự phản ánh tồn tại xã hội, do tồn tại xã hội quyết định."
252,"Trong quá trình phát triển của sự vật, cái cũ lúc đầu là cái chung, cái phổ biến, nhưng về sau do không phù hợp với điều kiện mới nên mất dần đi và trở thành cái gì?",Trở thành cái đơn nhất.
253,"Theo Hồ Chí Minh, cần phải chống căn bệnh nào của cán bộ, đảng viên khi mang nặng chủ nghĩa cá nhân?","Ngại gian khổ, sa vào tham ô, hủ hoá, lãng phí, xa hoa; tham danh, trục lợi, thích địa vị, quyền hành; coi thường tập thể, xem khinh quần chúng; độc đoán, chuyên quyền; mắc bệnh quan liêu, mệnh lệnh."
254,"Ý nghĩa phương pháp luận của Quy luật lượng-chất để tránh tư tưởng ""đốt cháy giai đoạn"" là gì?",Con người phải biết từng bước tích luỹ về lượng đến một giới hạn nhất định (điểm nút) để làm biến đổi về chất theo quy luật.
255,Hình thức đấu tranh nào đã bùng nổ ở Bến Tre vào ngày 17-1-1960?,Khởi nghĩa đồng loạt (đồng khởi).
256,"Theo V.I. Lênin, khái niệm quy luật là một trong những giai đoạn nào của sự nhận thức?","Giai đoạn của sự nhận thức của con người về tính thống nhất và về liên hệ, về sự phụ thuộc lẫn nhau và tính chỉnh thể của quá trình thế giới."
257,"Việc nghiên cứu, học tập lịch sử Đảng cần thấu hiểu những vấn đề gì?","Cần thấu hiểu tính khoa học, cách mạng, giá trị thực tiễn sâu sắc trong Cương lĩnh, đường lối của Đảng; là sự lãnh đạo đúng đắn, đáp ứng kịp thời những yêu cầu, nhiệm vụ do lịch sử đặt ra; những kinh nghiệm, bài học quý báu có tính quy luật, lý luận của cách mạng Việt Nam và những truyền thống vẻ vang của Đảng."
258,"Theo triết học Mác-Lênin, bản chất con người là gì?","Trong tính hiện thực của nó, bản chất con người là tổng hoà những quan hệ xã hội."
259,Đạo đức cách mạng theo Hồ Chí Minh được thể hiện trong hành động của ai?,"Người Việt Nam yêu nước vì độc lập tự do của dân tộc, hạnh phúc của nhân dân."
260,Phạm trù nào dùng để chỉ điểm giới hạn mà tại đó sự thay đổi về lượng đã đủ làm thay đổi về chất của sự vật?,Điểm nút.
261,Bản chất của hình thái kinh tế - xã hội được quy định bởi cái gì?,Một kiểu quan hệ sản xuất đặc trưng cho nó.
262,"Trong công tác xây dựng Đảng, Hồ Chí Minh yêu cầu cán bộ, đảng viên phải có tinh thần gì?","Tuyệt đối trung thành với Đảng, suốt đời phấn đấu cho lợi ích của cách mạng, vì mục tiêu lý tưởng của Đảng."
263,Trực quan sinh động bao gồm 3 hình thức nào?,"Cảm giác, tri giác và biểu tượng."
264,Triết học Mác-Lênin được sáng lập bởi ai?,C.Mác và Ph.Ăngghen.
265,"Theo Hồ Chí Minh, đoàn kết trong Mặt trận cần phải theo nguyên tắc nào mới quy tụ được các tầng lớp, giai cấp?",Nguyên tắc hiệp thương dân chủ.
266,"Trong xã hội xã hội chủ nghĩa, Hồ Chí Minh quan tâm đến lợi ích của những đối tượng nào?",Lợi ích của cả cộng đồng người và lợi ích của những con người cụ thể.
267,"Hồ Chí Minh cho rằng, Đảng phải “sẵn sàng vui vẻ làm gì” cho nhân dân?","Làm trâu ngựa, làm tôi tớ trung thành của nhân dân."
268,Tính khách quan của mối liên hệ nhân quả thể hiện ở chỗ nào?,"Dù con người biết hay không biết, thì các sự vật vẫn tác động lẫn nhau và sự tác động đó tất yếu gây nên biến đổi nhất định."
269,"Phạm trù nào chỉ sự tổng hợp tất cả những mặt, những thuộc tính, những mối liên hệ cơ bản và phổ biến nhất của toàn bộ thế giới hiện thực?",Phạm trù triết học.
270,"Trong lý luận về nhân cách của Phơrớt, ""Cái siêu tôi"" là đại diện cho điều gì?","Là đại diện của xã hội, của lý tưởng và của uy thế bên ngoài trong tâm lý con người."
271,"Theo Hồ Chí Minh, khi nói đến xây dựng Đảng, cần phải luôn luôn làm gì?","Đoàn kết, thống nhất trong Đảng."
272,"Ba loại hình cơ bản của thế giới quan, xét theo quá trình phát triển là gì?","Thế giới quan huyền thoại, thế giới quan tôn giáo và thế giới quan triết học."
273,"Theo Hồ Chí Minh, lòng yêu thương con người phải được xây dựng trên lập trường nào?",Lập trường của giai cấp công nhân.
274,Khác biệt căn bản giữa quan hệ nhân quả với quan hệ kế tiếp về mặt thời gian là gì?,Ở chỗ nguyên nhân và kết quả có quan hệ sản sinh ra nhau.
275,"Nghị quyết Trung ương 4 khóa VII (1-1993) đã ban hành bao nhiêu Nghị quyết liên quan đến chăm sóc, bồi dưỡng, phát huy nguồn lực con người?",5 Nghị quyết.
276,Tư duy trừu tượng bao gồm 3 hình thức nào?,"Khái niệm, phán đoán và suy lý."
277,Thuyết Ngũ hành gồm năm thế lực động nào?,"Thứ nhất là Thủy, hai là Hỏa, ba là Mộc, bốn là Kim, năm là Thổ."
278,"Trong Di chúc, Hồ Chí Minh yêu cầu Đảng phải làm gì để củng cố sự đoàn kết và thống nhất trong Đảng?","Thực hành dân chủ rộng rãi, thường xuyên và nghiêm chỉnh tự phê bình và phê bình."
279,"Trong tư tưởng Hồ Chí Minh, phẩm chất nào là đặc trưng bản chất của đạo đức?",Nói đi đôi với làm.
280,"Theo Hồ Chí Minh, thắng lợi của cách mạng giải phóng dân tộc có thể thành công trước cách mạng ở 'chính quốc' là do đâu?","Do đường lối đúng đắn, biết phát huy nhân tố bên trong và điều kiện quốc tế, nắm vững thời cơ."
281,"Theo Chủ nghĩa Mác, mục đích của các nhà triết học là gì?","Các nhà triết học đã chỉ giải thích thế giới bằng nhiều cách khác nhau, song vấn đề là cải tạo thế giới."
282,"Hai thế lực Âm - Dương thống nhất, chế ước lẫn nhau theo những nguyên lý nào?","Âm - Dương thống nhất thành thái cực; Trong Âm có Dương, trong Dương có Âm."
283,Cương lĩnh chính trị đầu tiên của Đảng Cộng sản Việt Nam đã được thông qua tại Hội nghị nào?,Hội nghị thành lập Đảng (2-1930).
284,"Phạm trù nào chỉ tổng hợp tất cả những mặt, những mối liên hệ tất nhiên, tương đối ổn định bên trong sự vật, quy định sự vận động và phát triển của sự vật?",Bản chất.
285,"Theo Hồ Chí Minh, vai trò của quần chúng nhân dân và lãnh tụ trong lịch sử là gì?","Quần chúng nhân dân là lực lượng quyết định sự phát triển, còn lãnh tụ là người định hướng, dẫn dắt phong trào, thúc đẩy sự phát triển của lịch sử."
286,Hội nghị Trung ương 2 (4-1987) đã đề ra chủ trương thực hiện bốn giảm là gì?,"Giảm bội chi ngân sách, giảm nhịp độ tăng giá, giảm lạm phát, giảm khó khăn về đời sống của nhân dân."
